CSS File,Legacy calls remaining,Files containing legacy calls
accessibility/accessibilityNode.css,0,""
accessibility/accessibilityProperties.css,0,""
accessibility/axBreadcrumbs.css,0,""
animation/animationScreenshotPopover.css,0,""
animation/animationTimeline.css,0,""
browser_debugger/domBreakpointsSidebarPane.css,0,""
browser_debugger/xhrBreakpointsSidebarPane.css,1,"front_end/browser_debugger/XHRBreakpointsSidebarPane.js"
changes/changesSidebar.css,1,"front_end/changes/ChangesSidebar.js"
changes/changesView.css,1,"front_end/changes/ChangesView.js"
cm/codemirror.css,1,"front_end/text_editor/CodeMirrorTextEditor.js"
color_picker/spectrum.css,1,"front_end/color_picker/Spectrum.js"
components/imagePreview.css,0,""
components/jsUtils.css,0,""
console/consoleContextSelector.css,1,"front_end/console/ConsoleContextSelector.js"
console/consolePinPane.css,1,"front_end/console/ConsolePinPane.js"
console/consolePrompt.css,0,""
console/consoleSidebar.css,1,"front_end/console/ConsoleSidebar.js"
console/consoleView.css,1,"front_end/console/ConsoleView.js"
console_counters/warningErrorCounter.css,1,"front_end/console_counters/WarningErrorCounter.js"
cookie_table/cookiesTable.css,1,"front_end/cookie_table/CookiesTable.js"
coverage/coverageListView.css,1,"front_end/coverage/CoverageListView.js"
coverage/coverageView.css,1,"front_end/coverage/CoverageView.js"
css_overview/cssOverview.css,0,""
css_overview/cssOverviewCompletedView.css,1,"front_end/css_overview/CSSOverviewCompletedView.js"
css_overview/cssOverviewProcessingView.css,0,""
css_overview/cssOverviewSidebarPanel.css,0,""
css_overview/cssOverviewStartView.css,0,""
data_grid/dataGrid.css,1,"front_end/data_grid/DataGrid.js"
developer_resources/developerResourcesListView.css,0,""
developer_resources/developerResourcesView.css,1,"front_end/developer_resources/DeveloperResourcesView.js"
elements/classesPaneWidget.css,1,"front_end/elements/ClassesPaneWidget.js"
elements/computedStyleSidebarPane.css,1,"front_end/elements/ComputedStyleWidget.js"
elements/computedStyleWidgetTree.css,1,"front_end/elements/ComputedStyleWidget.js"
elements/domLinkifier.css,0,""
elements/elementStatePaneWidget.css,1,"front_end/elements/ElementStatePaneWidget.js"
elements/elementsPanel.css,1,"front_end/elements/ElementsPanel.js"
elements/elementsTreeOutline.css,1,"front_end/elements/ElementsTreeOutline.js"
elements/layoutPane.css,0,""
elements/metricsSidebarPane.css,1,"front_end/elements/MetricsSidebarPane.js"
elements/nodeStackTraceWidget.css,0,""
elements/platformFontsWidget.css,1,"front_end/elements/PlatformFontsWidget.js"
elements/propertiesWidget.css,0,""
elements/stylesSectionTree.css,1,"front_end/elements/StylesSidebarPane.js"
elements/stylesSidebarPane.css,1,"front_end/elements/StylesSidebarPane.js"
emulation/deviceModeToolbar.css,1,"front_end/emulation/DeviceModeToolbar.js"
emulation/deviceModeView.css,1,"front_end/emulation/DeviceModeView.js"
emulation/devicesSettingsTab.css,2,"front_end/emulation/DevicesSettingsTab.js"
emulation/inspectedPagePlaceholder.css,1,"front_end/emulation/InspectedPagePlaceholder.js"
emulation/locationsSettingsTab.css,2,"front_end/emulation/LocationsSettingsTab.js"
emulation/mediaQueryInspector.css,1,"front_end/emulation/MediaQueryInspector.js"
emulation/sensors.css,1,"front_end/emulation/SensorsView.js"
event_listeners/eventListenersView.css,1,"front_end/event_listeners/EventListenersView.js"
help/releaseNote.css,1,"front_end/help/ReleaseNoteView.js"
inline_editor/bezierEditor.css,1,"front_end/inline_editor/BezierEditor.js"
inline_editor/bezierSwatch.css,1,"front_end/inline_editor/Swatches.js"
inline_editor/colorSwatch.css,0,""
inline_editor/cssShadowEditor.css,1,"front_end/inline_editor/CSSShadowEditor.js"
inline_editor/cssShadowSwatch.css,1,"front_end/inline_editor/Swatches.js"
inline_editor/swatchPopover.css,0,""
input/inputTimeline.css,1,"front_end/input/InputTimeline.js"
inspector_main/nodeIcon.css,0,""
inspector_main/renderingOptions.css,0,""
issues/issuesPane.css,0,""
issues/issuesTree.css,1,"front_end/issues/IssuesPane.js"
layer_viewer/layerDetailsView.css,1,"front_end/layer_viewer/LayerDetailsView.js"
layer_viewer/layers3DView.css,1,"front_end/layer_viewer/Layers3DView.js"
layer_viewer/paintProfiler.css,1,"front_end/layer_viewer/PaintProfilerView.js"
lighthouse/lighthouseDialog.css,0,""
lighthouse/lighthousePanel.css,0,""
lighthouse/lighthouseStartView.css,0,""
media/eventDisplayTable.css,0,""
media/mediaView.css,1,"front_end/media/MainView.js"
media/playerListView.css,1,"front_end/media/PlayerListView.js"
media/playerMessagesView.css,2,"front_end/media/PlayerMessagesView.js"
media/playerPropertiesView.css,1,"front_end/media/PlayerPropertiesView.js"
mobile_throttling/throttlingSettingsTab.css,2,"front_end/mobile_throttling/ThrottlingSettingsTab.js"
network/binaryResourceView.css,0,""
network/blockedURLsPane.css,0,""
network/eventSourceMessagesView.css,0,""
network/networkConfigView.css,1,"front_end/network/NetworkConfigView.js"
network/networkLogView.css,1,"front_end/network/NetworkLogView.js"
network/networkManageCustomHeadersView.css,0,""
network/networkPanel.css,1,"front_end/network/NetworkPanel.js"
network/networkTimingTable.css,1,"front_end/network/RequestTimingView.js"
network/networkWaterfallColumn.css,0,""
network/requestCookiesView.css,1,"front_end/network/RequestCookiesView.js"
network/requestHTMLView.css,0,""
network/requestHeadersTree.css,1,"front_end/network/RequestHeadersView.js"
network/requestHeadersView.css,1,"front_end/network/RequestHeadersView.js"
network/requestInitiatorView.css,0,""
network/signedExchangeInfoTree.css,1,"front_end/network/SignedExchangeInfoView.js"
network/signedExchangeInfoView.css,0,""
network/webSocketFrameView.css,1,"front_end/network/ResourceWebSocketFrameView.js"
node_main/nodeConnectionsPanel.css,0,""
object_ui/customPreviewComponent.css,0,""
object_ui/objectPopover.css,2,"front_end/object_ui/ObjectPopoverHelper.js"
object_ui/objectPropertiesSection.css,3,"front_end/network/RequestHeadersView.js, front_end/object_ui/ObjectPropertiesSection.js"
object_ui/objectValue.css,11,"front_end/accessibility/AccessibilitySubPane.js, front_end/console/ConsolePinPane.js, front_end/event_listeners/EventListenersView.js, front_end/object_ui/ObjectPopoverHelper.js, front_end/profiler/ProfilesPanel.js, front_end/sources/WatchExpressionsSidebarPane.js, front_end/network/RequestHeadersView.js, front_end/console/ConsoleView.js, front_end/object_ui/ObjectPropertiesSection.js"
perf_ui/chartViewport.css,1,"front_end/perf_ui/ChartViewport.js"
